model_seed,region,region_device_time_ms,state_inference_total_device_time_ms,cost_share,primary_registered_region
5,inference_finalize,8.15148900821805,45493.61219406128,0.00017917875972227464,True
5,unattributed_residual,7669.836442968341,45493.61219406128,0.16859150269825263,False
6,inference_setup,43.370803993195295,45177.95791244507,0.0009599992119441955,True
6,lower_prediction_and_error,16759.305108394474,45177.95791244507,0.37096198860678975,True
6,upper_state_vjp,12339.37370199943,45177.95791244507,0.2731281862255295,True
6,component_aggregation,3508.1493110852316,45177.95791244507,0.07765179023549557,True
6,belief_update,4265.283109139651,45177.95791244507,0.09441071058160208,True
6,sweep_bookkeeping,831.4698680797592,45177.95791244507,0.018404326058542725,True
6,inference_finalize,6.794685977045447,45177.95791244507,0.00015039825372836806,True
6,unattributed_residual,7424.211323776281,45177.95791244507,0.1643326008263678,False
7,inference_setup,44.37497103959322,46575.62923812866,0.0009527508648936535,True
7,lower_prediction_and_error,16997.762939032167,46575.62923812866,0.3649497219270443,True
7,upper_state_vjp,12692.114520058502,46575.62923812866,0.27250548683233317,True
7,component_aggregation,3703.0002078413963,46575.62923812866,0.07950510317120897,True
7,belief_update,4517.082715041935,46575.62923812866,0.09698382585337295,True
7,sweep_bookkeeping,866.4763208904769,46575.62923812866,0.01860364175565759,True
7,inference_finalize,5.736890006810427,46575.62923812866,0.00012317364468613515,True
7,unattributed_residual,7749.08067421778,46575.62923812866,0.16637629595080328,False
8,inference_setup,44.18691301718354,45934.48975753784,0.0009619550200823223,True
8,lower_prediction_and_error,16905.17981613241,45934.48975753784,0.36802803090586794,True
8,upper_state_vjp,12466.088592512999,45934.48975753784,0.27138841986303586,True
8,component_aggregation,3543.8712832210585,45934.48975753784,0.07715055292716101,True
8,belief_update,4429.876539467834,45934.48975753784,0.09643900613353154,True
8,sweep_bookkeeping,846.6872596966568,45934.48975753784,0.018432495150503235,True
8,inference_finalize,6.32038700254634,45934.48975753784,0.0001375956723566123,True
8,unattributed_residual,7692.278966487154,45934.48975753784,0.16746194432746153,False
9,inference_setup,44.571613024920225,46736.913970947266,0.0009536704338807427,True
9,lower_prediction_and_error,17062.907169435173,46736.913970947266,0.36508416409440014,True
9,upper_state_vjp,12573.157139820978,46736.913970947266,0.2690198404549505,True
9,component_aggregation,3725.6365298917517,46736.913970947266,0.07971507344724756,True
9,belief_update,4501.02580802422,46736.913970947266,0.09630558429301003,True
9,sweep_bookkeeping,885.7854526326992,46736.913970947266,0.018952587523928595,True
9,inference_finalize,8.786846016533673,46736.913970947266,0.0001880065513524444,True
9,unattributed_residual,7935.0434121009885,46736.913970947266,0.16978107320123004,False
