contract_id,source_git_commit,source_git_branch,experiment_image,image_revision,torch_version,torch_hip_version,torch2pc_commit,checkpoint_sha256,config_sha256,split_manifest_sha256,input_sha256,target_sha256,model_seed,batch_id,execution_scope,lane,implementation_schema_id,observer_mode,record_type,sequence_index,sweep_index,output_error_norm,output_error_vjp_call_count,saved_tensor_count,saved_tensor_bytes,graph_birth_event,graph_release_event,synchronization_count,finite,passed
stage3b-si-ma0-v2,03016e68ecc7a850da7148d676f47acfb07cc99e,research/stage3b-si-ma0-confirmatory-execution,torch2pc-layerwise-thesis:0.1.0,03016e68ecc7a850da7148d676f47acfb07cc99e,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,5cacbe9ab6afeffdef2e201f076138af4778e3b414735b8c88ec9adf972a421a,a40f82a66c49b0e656b344739839e5bd47bd8ad09f4bae756fcd8da178701e21,7328eeaf1f12792656b1279ba97ca9984d3dca403e04acb211c41aedd8f51339,1715a6b93e9b4dd6a6b133fb69485b207af4e845c6a0499d5428d496a2020f77,f3403ce44b3b510ef2ea305249874e05715a3432447dfde1f4164e05d7b97f31,0,0,confirmatory,rocm,stage3b-si-ma0-implementation-v2,full_attribution,output_error,60,10,0.0225351694971323,1,6,111908,60,61,1,True,True
stage3b-si-ma0-v2,03016e68ecc7a850da7148d676f47acfb07cc99e,research/stage3b-si-ma0-confirmatory-execution,torch2pc-layerwise-thesis:0.1.0,03016e68ecc7a850da7148d676f47acfb07cc99e,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,5cacbe9ab6afeffdef2e201f076138af4778e3b414735b8c88ec9adf972a421a,a40f82a66c49b0e656b344739839e5bd47bd8ad09f4bae756fcd8da178701e21,7328eeaf1f12792656b1279ba97ca9984d3dca403e04acb211c41aedd8f51339,1715a6b93e9b4dd6a6b133fb69485b207af4e845c6a0499d5428d496a2020f77,f3403ce44b3b510ef2ea305249874e05715a3432447dfde1f4164e05d7b97f31,0,0,confirmatory,rocm,stage3b-si-ma0-implementation-v2,full_attribution,output_error,66,11,0.022533291950821877,1,6,111908,66,67,1,True,True
stage3b-si-ma0-v2,03016e68ecc7a850da7148d676f47acfb07cc99e,research/stage3b-si-ma0-confirmatory-execution,torch2pc-layerwise-thesis:0.1.0,03016e68ecc7a850da7148d676f47acfb07cc99e,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,5cacbe9ab6afeffdef2e201f076138af4778e3b414735b8c88ec9adf972a421a,a40f82a66c49b0e656b344739839e5bd47bd8ad09f4bae756fcd8da178701e21,7328eeaf1f12792656b1279ba97ca9984d3dca403e04acb211c41aedd8f51339,1715a6b93e9b4dd6a6b133fb69485b207af4e845c6a0499d5428d496a2020f77,f3403ce44b3b510ef2ea305249874e05715a3432447dfde1f4164e05d7b97f31,0,0,confirmatory,rocm,stage3b-si-ma0-implementation-v2,full_attribution,output_error,72,12,0.022531460970640182,1,6,111908,72,73,1,True,True
stage3b-si-ma0-v2,03016e68ecc7a850da7148d676f47acfb07cc99e,research/stage3b-si-ma0-confirmatory-execution,torch2pc-layerwise-thesis:0.1.0,03016e68ecc7a850da7148d676f47acfb07cc99e,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,5cacbe9ab6afeffdef2e201f076138af4778e3b414735b8c88ec9adf972a421a,a40f82a66c49b0e656b344739839e5bd47bd8ad09f4bae756fcd8da178701e21,7328eeaf1f12792656b1279ba97ca9984d3dca403e04acb211c41aedd8f51339,1715a6b93e9b4dd6a6b133fb69485b207af4e845c6a0499d5428d496a2020f77,f3403ce44b3b510ef2ea305249874e05715a3432447dfde1f4164e05d7b97f31,0,0,confirmatory,rocm,stage3b-si-ma0-implementation-v2,full_attribution,output_error,78,13,0.022529667243361473,1,6,111908,78,79,1,True,True
stage3b-si-ma0-v2,03016e68ecc7a850da7148d676f47acfb07cc99e,research/stage3b-si-ma0-confirmatory-execution,torch2pc-layerwise-thesis:0.1.0,03016e68ecc7a850da7148d676f47acfb07cc99e,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,5cacbe9ab6afeffdef2e201f076138af4778e3b414735b8c88ec9adf972a421a,a40f82a66c49b0e656b344739839e5bd47bd8ad09f4bae756fcd8da178701e21,7328eeaf1f12792656b1279ba97ca9984d3dca403e04acb211c41aedd8f51339,1715a6b93e9b4dd6a6b133fb69485b207af4e845c6a0499d5428d496a2020f77,f3403ce44b3b510ef2ea305249874e05715a3432447dfde1f4164e05d7b97f31,0,0,confirmatory,rocm,stage3b-si-ma0-implementation-v2,full_attribution,output_error,84,14,0.022527918219566345,1,6,111908,84,85,1,True,True
stage3b-si-ma0-v2,03016e68ecc7a850da7148d676f47acfb07cc99e,research/stage3b-si-ma0-confirmatory-execution,torch2pc-layerwise-thesis:0.1.0,03016e68ecc7a850da7148d676f47acfb07cc99e,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,5cacbe9ab6afeffdef2e201f076138af4778e3b414735b8c88ec9adf972a421a,a40f82a66c49b0e656b344739839e5bd47bd8ad09f4bae756fcd8da178701e21,7328eeaf1f12792656b1279ba97ca9984d3dca403e04acb211c41aedd8f51339,1715a6b93e9b4dd6a6b133fb69485b207af4e845c6a0499d5428d496a2020f77,f3403ce44b3b510ef2ea305249874e05715a3432447dfde1f4164e05d7b97f31,0,0,confirmatory,rocm,stage3b-si-ma0-implementation-v2,full_attribution,output_error,90,15,0.022526204586029053,1,6,111908,90,91,1,True,True
stage3b-si-ma0-v2,03016e68ecc7a850da7148d676f47acfb07cc99e,research/stage3b-si-ma0-confirmatory-execution,torch2pc-layerwise-thesis:0.1.0,03016e68ecc7a850da7148d676f47acfb07cc99e,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,5cacbe9ab6afeffdef2e201f076138af4778e3b414735b8c88ec9adf972a421a,a40f82a66c49b0e656b344739839e5bd47bd8ad09f4bae756fcd8da178701e21,7328eeaf1f12792656b1279ba97ca9984d3dca403e04acb211c41aedd8f51339,1715a6b93e9b4dd6a6b133fb69485b207af4e845c6a0499d5428d496a2020f77,f3403ce44b3b510ef2ea305249874e05715a3432447dfde1f4164e05d7b97f31,0,0,confirmatory,rocm,stage3b-si-ma0-implementation-v2,full_attribution,output_error,96,16,0.022524526342749596,1,6,111908,96,97,1,True,True
stage3b-si-ma0-v2,03016e68ecc7a850da7148d676f47acfb07cc99e,research/stage3b-si-ma0-confirmatory-execution,torch2pc-layerwise-thesis:0.1.0,03016e68ecc7a850da7148d676f47acfb07cc99e,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,5cacbe9ab6afeffdef2e201f076138af4778e3b414735b8c88ec9adf972a421a,a40f82a66c49b0e656b344739839e5bd47bd8ad09f4bae756fcd8da178701e21,7328eeaf1f12792656b1279ba97ca9984d3dca403e04acb211c41aedd8f51339,1715a6b93e9b4dd6a6b133fb69485b207af4e845c6a0499d5428d496a2020f77,f3403ce44b3b510ef2ea305249874e05715a3432447dfde1f4164e05d7b97f31,0,0,confirmatory,rocm,stage3b-si-ma0-implementation-v2,full_attribution,output_error,102,17,0.022522881627082825,1,6,111908,102,103,1,True,True
stage3b-si-ma0-v2,03016e68ecc7a850da7148d676f47acfb07cc99e,research/stage3b-si-ma0-confirmatory-execution,torch2pc-layerwise-thesis:0.1.0,03016e68ecc7a850da7148d676f47acfb07cc99e,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,5cacbe9ab6afeffdef2e201f076138af4778e3b414735b8c88ec9adf972a421a,a40f82a66c49b0e656b344739839e5bd47bd8ad09f4bae756fcd8da178701e21,7328eeaf1f12792656b1279ba97ca9984d3dca403e04acb211c41aedd8f51339,1715a6b93e9b4dd6a6b133fb69485b207af4e845c6a0499d5428d496a2020f77,f3403ce44b3b510ef2ea305249874e05715a3432447dfde1f4164e05d7b97f31,0,0,confirmatory,rocm,stage3b-si-ma0-implementation-v2,full_attribution,output_error,108,18,0.02252127416431904,1,6,111908,108,109,1,True,True
stage3b-si-ma0-v2,03016e68ecc7a850da7148d676f47acfb07cc99e,research/stage3b-si-ma0-confirmatory-execution,torch2pc-layerwise-thesis:0.1.0,03016e68ecc7a850da7148d676f47acfb07cc99e,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,5cacbe9ab6afeffdef2e201f076138af4778e3b414735b8c88ec9adf972a421a,a40f82a66c49b0e656b344739839e5bd47bd8ad09f4bae756fcd8da178701e21,7328eeaf1f12792656b1279ba97ca9984d3dca403e04acb211c41aedd8f51339,1715a6b93e9b4dd6a6b133fb69485b207af4e845c6a0499d5428d496a2020f77,f3403ce44b3b510ef2ea305249874e05715a3432447dfde1f4164e05d7b97f31,0,0,confirmatory,rocm,stage3b-si-ma0-implementation-v2,full_attribution,output_error,114,19,0.022519690915942192,1,6,111908,114,115,1,True,True
