source_file,dataset,model,model_seed,checkpoint_label,method,scope,unit,cosine,relative_l2,norm_ratio,reference_norm,candidate_norm,max_abs_difference,sign_agreement
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,top_level,3,0.8347733609816131,0.9455793300710174,0.0660048547690928,0.3495933486315258,0.0230973606356888,0.009492359770229,0.8187115544472153
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,top_level,4,0.9224244056870368,0.7160449678313631,0.3189754857740918,0.2298903024015514,0.0734917583367307,0.0097610631026327,0.8584809130263675
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,top_level,5,0.999998420309048,0.0023893265946321,0.9983650687144066,0.2109087011982862,0.2105692160411389,7.15760514140129e-05,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,parameter,0.0.bias,1.0,0.0,1.0,0.0899144707858036,0.0899144707858036,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,parameter,0.0.weight,1.0,0.0,1.0,0.1371125668478499,0.1371125668478499,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,parameter,1.0.bias,1.0,0.0,1.0,0.039995200412925,0.039995200412925,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,parameter,1.0.weight,0.9999999999999998,0.0,1.0,0.2564412264808416,0.2564412264808416,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,parameter,3.0.bias,1.0,0.0,1.0,0.0366169357541329,0.0366169357541329,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,parameter,3.0.weight,0.9999999999999896,0.0,1.0,0.4317379668549297,0.4317379668549297,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,parameter,4.0.bias,0.9999999999999998,0.0,1.0,0.0336625309220185,0.0336625309220185,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,parameter,4.0.weight,0.9999999999999976,0.0,1.0,0.2725615189420776,0.2725615189420776,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,parameter,5.bias,1.0,0.0,1.0,0.0353085083785396,0.0353085083785396,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,parameter,5.weight,1.0,0.0,1.0,0.2446252487048136,0.2446252487048136,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,top_level,0,1.0,0.0,1.0,0.1672838777523458,0.1672838777523458,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,top_level,1,0.9999999999999998,0.0,1.0,0.2597728107454964,0.2597728107454964,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,top_level,3,0.9999999999999896,0.0,1.0,0.4333210498511124,0.4333210498511124,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,top_level,4,0.9999999999999976,0.0,1.0,0.274679981528331,0.274679981528331,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,exact,top_level,5,1.0,0.0,1.0,0.2471824136069123,0.2471824136069123,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,fixedpred,parameter,0.0.bias,0.9975468515587432,0.9990740020326876,0.0009284237532874,0.0899144707858036,8.145587978322586e-05,0.057941348845452,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,fixedpred,parameter,0.0.weight,0.9955457603357936,0.9991142604474236,0.0008897453559212,0.1371125668478499,0.0001211686990894,0.0282291500974679,0.9786666666666668
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,fixedpred,parameter,1.0.bias,0.999912555959106,0.991663423770138,0.008337311909448,0.039995200412925,0.0003332881285154,0.0218586195274838,0.9875
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,fixedpred,parameter,1.0.weight,0.9999512937629664,0.9916751699824676,0.0083252391513015,0.2564412264808416,0.0021343063306542,0.0212751378363464,0.99675
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,fixedpred,parameter,3.0.bias,0.9999998981640332,0.7748417295592954,0.2251583000327693,0.0366169357541329,0.0082445997867308,0.0092682079179212,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,fixedpred,parameter,3.0.weight,0.9999999271215986,0.7748412832287065,0.2251587379488381,0.4317379668549297,0.0972094884493037,0.0101581393275409,0.9998166666666666
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,fixedpred,parameter,4.0.bias,0.9999999567930372,0.3874171678582791,0.6125829004578647,0.0336625309220185,0.0206211279868817,0.0050666003488004,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,fixedpred,parameter,4.0.weight,0.9999999655620564,0.3874126389952358,0.6125874154591304,0.2725615189420776,0.1669675679489415,0.0059241000562906,0.9999007936507937
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,fixedpred,parameter,5.bias,1.0,0.0,1.0,0.0353085083785396,0.0353085083785396,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,1,final,fixedpred,parameter,5.weight,1.0,0.0,1.0,0.2446252487048136,0.2446252487048136,0.0,1.0
