source_file,dataset,model,model_seed,reference_label,candidate_label,reference_layer,candidate_layer,cka
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,0,5,0.7502043853912522
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,1,0,0.9078304958956056
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,1,1,0.9731322304129434
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,1,3,0.9495221467159134
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,1,4,0.8381388126406358
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,1,5,0.7401211735287901
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,3,0,0.864464334954134
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,3,1,0.8834497258667853
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,3,3,0.9589131861596788
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,3,4,0.9297565669742768
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,3,5,0.85254808475023
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,4,0,0.7845741155494245
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,4,1,0.748947661884382
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,4,3,0.8888565605278173
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,4,4,0.9739665251293684
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,4,5,0.9492444141170664
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,5,0,0.7040387355120664
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,5,1,0.6316230238873214
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,5,3,0.7966071581489342
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,5,4,0.9349178138532276
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,5,5,0.9682164278685432
