cell_id,block_id,candidate_id,method,depth,width,batch_size,model_seed,repetition,primary_host_time_median_us,primary_device_time_median_us,primary_peak_allocated_max_bytes,primary_peak_reserved_max_bytes,observer_cost_median_ms,saved_tensor_bytes_median,state_vjp_calls_median,graph_span_max,dependency_radius_max,graph_lifetimes,feedback_operator,fallback_validation_cost_ms,fallback_validation_status
s3b-cell-7516efa03b108db7e662,s3b-block-550d367ca244ec32ef93,isolated_layer_vjp,fixedpred,4,64,64,72,2,15131.8385,15132.85493850708,299854848,304087040,23.546326160430908,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-7516efa03b108db7e662,s3b-block-550d367ca244ec32ef93,isolated_layer_vjp,fixedpred,4,64,64,72,3,15002.5485,15004.579067230225,350245888,354418688,22.92012071609497,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-7516efa03b108db7e662,s3b-block-550d367ca244ec32ef93,isolated_layer_vjp,fixedpred,4,64,64,72,4,14865.754,14866.877555847168,400636928,404750336,22.49156951904297,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-9cee32ec303513f1780f,s3b-block-550d367ca244ec32ef93,composite_vjp,fixedpred,4,64,64,72,0,11404.241999999998,11405.039310455322,199591424,203423744,8.212226867675781,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-9cee32ec303513f1780f,s3b-block-550d367ca244ec32ef93,composite_vjp,fixedpred,4,64,64,72,1,11537.815999999999,11538.567066192627,249982464,253755392,8.181042671203613,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-9cee32ec303513f1780f,s3b-block-550d367ca244ec32ef93,composite_vjp,fixedpred,4,64,64,72,2,11483.5485,11486.300945281982,300887552,304087040,7.8581013679504395,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-9cee32ec303513f1780f,s3b-block-550d367ca244ec32ef93,composite_vjp,fixedpred,4,64,64,72,3,11409.363000000001,11410.630702972412,351278592,354418688,8.49435567855835,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-9cee32ec303513f1780f,s3b-block-550d367ca244ec32ef93,composite_vjp,fixedpred,4,64,64,72,4,11424.031500000001,11425.250053405762,401669632,404750336,8.334994316101074,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-7d24f686e232eccf0fcd,s3b-block-248d76724a8cf4455766,composite_vjp,fixedpred,4,64,256,70,0,11701.1085,11701.895713806152,259220480,287309824,7.897433757781982,16770564.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-7d24f686e232eccf0fcd,s3b-block-248d76724a8cf4455766,composite_vjp,fixedpred,4,64,256,70,1,11269.012,11270.029067993164,362081280,390070272,8.330843925476074,16770564.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
