cell_id,method,depth,width,batch_size,model_seed,region,record_count,host_time_mean_us,host_time_median_us,host_time_p95_us,device_time_mean_us,device_time_median_us,device_time_p95_us,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,actual_inference_steps_max,non_finite_events_total
s3b-cell-2c37ed8014ece51ee602,strict,4,64,256,71,parameter_vjp,250,1386.9874,1381.944,1421.465,1336.393268585205,1337.4335169792175,1379.2840242385864,1199097344,1231028224,1000,500,1196032.0,1196032,0,0,0
s3b-cell-2c37ed8014ece51ee602,strict,4,64,256,71,state_inference,250,57270.505324,56875.474,58465.053,57194.77395629883,56802.67524719238,58430.2864074707,1199142400,1231028224,20000,500,7710800.0,7710800,5000,20,0
s3b-cell-00bdb34bd7ffd5afc89d,fixedpred,4,64,256,72,initial_forward,250,795.322956,785.1795,842.549,749.785834312439,739.1085028648376,795.9799766540527,670802944,698351616,250,500,1253892.0,1253892,0,0,0
s3b-cell-00bdb34bd7ffd5afc89d,fixedpred,4,64,256,72,local_state_vjp,250,9684.733032,9660.733499999998,10235.727,8760.55247952789,8725.614964962006,9312.848046422005,674645504,700448768,10000,20000,0.0,0,0,0,0
s3b-cell-00bdb34bd7ffd5afc89d,fixedpred,4,64,256,72,optimizer_step,250,190.457988,187.5935,202.056,167.27891582250595,164.7545024752617,178.70500683784485,667939840,700448768,0,500,0.0,0,0,0,0
s3b-cell-00bdb34bd7ffd5afc89d,fixedpred,4,64,256,72,parameter_vjp,250,1398.922136,1391.402,1440.821,1347.3480162620544,1346.3234901428223,1383.5339546203613,668116480,700448768,1000,500,1196032.0,1196032,0,0,0
s3b-cell-00bdb34bd7ffd5afc89d,fixedpred,4,64,256,72,state_inference,250,26624.477364,26608.0115,26995.04,26578.704025268555,26581.125259399414,26971.923828125,671119872,700448768,10000,500,1432064.0,1432064,2500,10,0
s3b-cell-4c5139507f5619102c27,strict,4,64,256,72,initial_forward,250,778.7811360000001,777.154,797.272,735.834855556488,734.1729998588562,754.709005355835,1199469568,1228931072,250,500,1253892.0,1253892,0,0,0
s3b-cell-4c5139507f5619102c27,strict,4,64,256,72,local_state_vjp,250,13803.3408,13753.594000000001,14179.955,12408.736771434546,12360.85495352745,12777.567908167839,1201187328,1231028224,15000,30000,0.0,0,0,0,0
s3b-cell-4c5139507f5619102c27,strict,4,64,256,72,optimizer_step,250,185.915484,182.87900000000002,198.609,163.69510811567307,160.88400036096573,176.06399953365326,1198920704,1231028224,0,500,0.0,0,0,0,0
s3b-cell-4c5139507f5619102c27,strict,4,64,256,72,parameter_vjp,250,1370.6806920000001,1366.449,1405.053,1323.1946396827698,1323.5880136489868,1359.0539693832397,1199097344,1231028224,1000,500,1196032.0,1196032,0,0,0
s3b-cell-4c5139507f5619102c27,strict,4,64,256,72,state_inference,250,55566.945784,55086.602,56960.037,55496.521255493164,54976.86958312988,56874.34768676758,1199142400,1231028224,20000,500,7710800.0,7710800,5000,20,0
s3b-cell-76ee2b089ae4d20d6a63,fixedpred,4,256,64,70,initial_forward,250,818.65914,802.1310000000001,978.217,774.4378309249878,758.013516664505,924.5219826698303,1224521728,1268776960,250,500,1134084.0,1134084,0,0,0
s3b-cell-76ee2b089ae4d20d6a63,fixedpred,4,256,64,70,local_state_vjp,250,9920.56156,9963.0405,10623.481,8959.393714815378,8996.869027614594,9651.079952716827,1225925120,1268776960,10000,20000,0.0,0,0,0,0
