run_id,experiment_id,status,stage,dataset,model,method,eta,inference_steps,model_seed,split_seed,config_sha256,git_commit,torch2pc_commit,run_directory,started_utc,finished_utc,test_evaluated,notes
20260712T233931Z-26db4334,pilot-fashionmnist-fixedpred-s41-4b4fd4a0fd-c08d1503-ca66dfdc,running,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,1,41,42,4b4fd4a0fd2c0276a5418d07344f7c31375483ce87065bb7f3ffbec2281b6638,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s41-4b4fd4a0fd-c08d1503-ca66dfdc/20260712T233931Z-26db4334,2026-07-12T23:39:31Z,,false,
20260712T233931Z-26db4334,pilot-fashionmnist-fixedpred-s41-4b4fd4a0fd-c08d1503-ca66dfdc,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,1,41,42,4b4fd4a0fd2c0276a5418d07344f7c31375483ce87065bb7f3ffbec2281b6638,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s41-4b4fd4a0fd-c08d1503-ca66dfdc/20260712T233931Z-26db4334,2026-07-12T23:39:31Z,2026-07-12T23:39:42Z,false,
20260712T233947Z-3b041c2a,pilot-fashionmnist-fixedpred-s42-1696e33093-c08d1503-ca66dfdc,running,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,1,42,42,1696e33093fff149bb5358364cac1a1a3792d430fee9fe896d5ba4a4ec9e5503,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s42-1696e33093-c08d1503-ca66dfdc/20260712T233947Z-3b041c2a,2026-07-12T23:39:47Z,,false,
20260712T233947Z-3b041c2a,pilot-fashionmnist-fixedpred-s42-1696e33093-c08d1503-ca66dfdc,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,1,42,42,1696e33093fff149bb5358364cac1a1a3792d430fee9fe896d5ba4a4ec9e5503,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s42-1696e33093-c08d1503-ca66dfdc/20260712T233947Z-3b041c2a,2026-07-12T23:39:47Z,2026-07-12T23:39:59Z,false,
20260712T234003Z-ae945a37,pilot-fashionmnist-strict-s40-92ddd1b41f-c08d1503-ca66dfdc,running,pilot,FashionMNIST,lenet_classic,strict,0.01,5,40,42,92ddd1b41f23153c44544db37860b199e92dacf5d062b973169b773d672bbb09,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-strict-s40-92ddd1b41f-c08d1503-ca66dfdc/20260712T234003Z-ae945a37,2026-07-12T23:40:03Z,,false,
20260712T234003Z-ae945a37,pilot-fashionmnist-strict-s40-92ddd1b41f-c08d1503-ca66dfdc,completed,pilot,FashionMNIST,lenet_classic,strict,0.01,5,40,42,92ddd1b41f23153c44544db37860b199e92dacf5d062b973169b773d672bbb09,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-strict-s40-92ddd1b41f-c08d1503-ca66dfdc/20260712T234003Z-ae945a37,2026-07-12T23:40:03Z,2026-07-12T23:40:16Z,false,
20260712T234021Z-c931ccf1,pilot-fashionmnist-strict-s41-6bd4fab67f-c08d1503-ca66dfdc,running,pilot,FashionMNIST,lenet_classic,strict,0.01,5,41,42,6bd4fab67f9c58efe43e45fb7b7a44fe520fc05c476cbc3624f5dd4ac9488bc9,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-strict-s41-6bd4fab67f-c08d1503-ca66dfdc/20260712T234021Z-c931ccf1,2026-07-12T23:40:21Z,,false,
20260712T234021Z-c931ccf1,pilot-fashionmnist-strict-s41-6bd4fab67f-c08d1503-ca66dfdc,completed,pilot,FashionMNIST,lenet_classic,strict,0.01,5,41,42,6bd4fab67f9c58efe43e45fb7b7a44fe520fc05c476cbc3624f5dd4ac9488bc9,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-strict-s41-6bd4fab67f-c08d1503-ca66dfdc/20260712T234021Z-c931ccf1,2026-07-12T23:40:21Z,2026-07-12T23:40:34Z,false,
20260712T234038Z-995c7bfb,pilot-fashionmnist-strict-s42-3ac68c0eab-c08d1503-ca66dfdc,running,pilot,FashionMNIST,lenet_classic,strict,0.01,5,42,42,3ac68c0eab911e6b65a5cb49f549574f43e48d20e9addc0bfe4981588ba088d4,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-strict-s42-3ac68c0eab-c08d1503-ca66dfdc/20260712T234038Z-995c7bfb,2026-07-12T23:40:38Z,,false,
20260712T234038Z-995c7bfb,pilot-fashionmnist-strict-s42-3ac68c0eab-c08d1503-ca66dfdc,completed,pilot,FashionMNIST,lenet_classic,strict,0.01,5,42,42,3ac68c0eab911e6b65a5cb49f549574f43e48d20e9addc0bfe4981588ba088d4,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-strict-s42-3ac68c0eab-c08d1503-ca66dfdc/20260712T234038Z-995c7bfb,2026-07-12T23:40:38Z,2026-07-12T23:40:51Z,false,
