method,depth,width,batch_size,region,seed_count,host_time_median_us_median,host_time_median_us_min,host_time_median_us_max,device_time_median_us_median,device_time_median_us_min,device_time_median_us_max,host_time_share_of_region_sum_median,host_time_share_of_region_sum_min,host_time_share_of_region_sum_max,device_time_share_of_region_sum_median,device_time_share_of_region_sum_min,device_time_share_of_region_sum_max,host_time_to_composite_ratio_median,host_time_to_composite_ratio_min,host_time_to_composite_ratio_max,device_time_to_composite_ratio_median,device_time_to_composite_ratio_min,device_time_to_composite_ratio_max,peak_allocated_max_bytes_median,peak_allocated_max_bytes_min,peak_allocated_max_bytes_max,peak_reserved_max_bytes_median,peak_reserved_max_bytes_min,peak_reserved_max_bytes_max,vjp_calls_total_median,vjp_calls_total_min,vjp_calls_total_max,synchronization_points_total_median,synchronization_points_total_min,synchronization_points_total_max,saved_tensor_bytes_mean_median,saved_tensor_bytes_mean_min,saved_tensor_bytes_mean_max,saved_tensor_bytes_max_median,saved_tensor_bytes_max_min,saved_tensor_bytes_max_max,actual_inference_steps_total_median,actual_inference_steps_total_min,actual_inference_steps_total_max
fixedpred,8,256,64,parameter_vjp,3,2691.4845,2649.3165,2691.661,2642.0904398,2608.57093334,2643.77200603,0.0352537979277,0.0350643883182,0.0358324711147,0.0355896746825,0.03539643878,0.0362143571904,0.0453709416974,0.0451775255162,0.0460608908214,0.0445375095974,0.0443729328708,0.0453519683208,2058838016,2058838016,2058838016,2126512128,2126512128,2126512128,2000,2000,2000,500,500,500,1118208,1118208,1118208,1118208,1118208,1118208,0,0,0
fixedpred,8,256,64,state_inference,3,53169.3435,51511.5855,53555.6695,53124.6032715,51481.1458588,53494.9913025,0.696703243836,0.696426560025,0.697672103578,0.715602811922,0.714704201014,0.716223706262,0.896287228861,0.895577978605,0.898892031862,0.895517236058,0.895038454298,0.897857172469,2057588224,2057588224,2057588224,2126512128,2126512128,2126512128,20000,20000,20000,500,500,500,3504128,3504128,3504128,3504128,3504128,3504128,2500,2500,2500
fixedpred,8,256,256,initial_forward,3,1190.407,1173.456,1201.861,1145.79600096,1132.69799948,1159.1989994,0.0157746244528,0.0157327129179,0.0158278147584,0.015593346042,0.0155901959901,0.0156739184389,0.0202320521495,0.020207406193,0.0203167174584,0.0195052854462,0.019473497391,0.0195952639012,2762203648,2762203648,2762203648,3013607424,3013607424,3013607424,250,250,250,500,500,500,6078468,6078468,6078468,6078468,6078468,6078468,0,0,0
fixedpred,8,256,256,local_state_vjp,3,18638.753,18497.238,18780.955,16803.5305217,16685.4774728,16935.0249916,0.247334322958,0.246990591321,0.247995438455,0.228984152519,0.228636104455,0.229701495218,0.3174804377,0.316782598471,0.318530223302,0.286272058598,0.28558618419,0.287327249685,2770682880,2770682880,2770682880,3015704576,3015704576,3015704576,20000,20000,20000,40000,40000,40000,0,0,0,0,0,0,0,0,0
fixedpred,8,256,256,optimizer_step,3,202.0325,199.417,202.2975,181.016504765,179.001502693,181.336000562,0.00267361572308,0.00266065126098,0.00268073616018,0.00246423351575,0.00244758486957,0.00246733605847,0.00343404466874,0.00341523455701,0.00343823042851,0.00308191521953,0.00305992860859,0.00308244157483,2761697280,2761697280,2761697280,3015704576,3015704576,3015704576,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,8,256,256,parameter_vjp,3,2643.7955,2616.517,2662.8575,2599.45940971,2573.39298725,2620.18609047,0.0350682942852,0.0350341363437,0.0350800633392,0.0354267486752,0.0353693690952,0.0354284148777,0.0450139603994,0.0449337146275,0.0450575239549,0.0442919964038,0.0441793879458,0.044314340455,2762210816,2762210816,2762210816,3015704576,3015704576,3015704576,2000,2000,2000,500,500,500,4472832,4472832,4472832,4472832,4472832,4472832,0,0,0
fixedpred,8,256,256,state_inference,3,52788.16,52100.381,53085.7705,52764.5282745,52069.2596436,53061.7656708,0.699108916737,0.698518169565,0.699519911722,0.717465929295,0.716814176549,0.717936994402,0.897190488335,0.897182901307,0.897382143452,0.896765133438,0.896643035291,0.896963594617,2764360192,2764360192,2764360192,3015704576,3015704576,3015704576,20000,20000,20000,500,500,500,6858752,6858752,6858752,6858752,6858752,6858752,2500,2500,2500
fixedpred,16,64,64,initial_forward,3,1934.7955,1885.355,1935.9295,1888.60195875,1840.85154533,1892.29100943,0.0127329279234,0.0126206875357,0.012949796733,0.0127599130788,0.012640255663,0.0129872601034,0.0167730413842,0.0166754850253,0.0170964976302,0.016372465956,0.0162817283516,0.0167110388891,613739520,613739520,613739520,618659840,618659840,618659840,250,250,250,500,500,500,929796,929796,929796,929796,929796,929796,0,0,0
fixedpred,16,64,64,local_state_vjp,3,37780.989,37722.608,38097.0435,34173.6704931,34071.5280026,34303.4144789,0.252333623635,0.250717406041,0.252908368428,0.233841303523,0.231763281314,0.234654409298,0.333134279051,0.330269161387,0.334163229901,0.300889570699,0.297379489166,0.302254910862,613942784,613942784,613942784,618659840,618659840,618659840,40000,40000,40000,80000,80000,80000,0,0,0,0,0,0,0,0,0
fixedpred,16,64,64,optimizer_step,3,225.888,224.561,231.173,202.847503126,201.907001436,207.876995206,0.00151210878909,0.00150213078738,0.00152135414148,0.00139285772751,0.00138573756958,0.0014044740225,0.0019979218563,0.00198313347895,0.00200407448534,0.00179411965678,0.00178306388191,0.00180210499692,613717504,613717504,613717504,618659840,618659840,618659840,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,16,64,64,parameter_vjp,3,5160.892,5082.006,5181.7365,5112.82992363,5037.55807877,5134.17506218,0.0341011116537,0.0340192747682,0.034522177776,0.0346878955732,0.0345905253437,0.0350906133104,0.0449490493575,0.0449212750166,0.0455766482445,0.0445555495236,0.0445086409174,0.0451519873326,613747200,613747200,613747200,618659840,618659840,618659840,4000,4000,4000,500,500,500,692224,692224,692224,692224,692224,692224,0,0,0
fixedpred,16,64,64,state_inference,3,104450.9815,104411.839,106507.38,104425.079346,104379.116058,106476.49765,0.698939560479,0.698692271068,0.70092720024,0.716721951968,0.716695085493,0.719384436012,0.923328947406,0.922423031255,0.923496136115,0.923054656815,0.922189849898,0.923199058364,614327808,614327808,614327808,618659840,618659840,618659840,40000,40000,40000,500,500,500,1124864,1124864,1124864,1124864,1124864,1124864,2500,2500,2500
fixedpred,16,64,256,initial_forward,3,1946.879,1930.2675,1999.1635,1904.25950289,1887.57199049,1956.23749495,0.0129382369131,0.0127601414093,0.0130726620983,0.0129845295019,0.0128082965928,0.0131337576205,0.0170472127207,0.0168260721881,0.017252661767,0.0166738927117,0.0164540085083,0.0168800778762,1091271168,1091271168,1091271168,1119879168,1119879168,1119879168,250,250,250,500,500,500,3023364,3023364,3023364,3023364,3023364,3023364,0,0,0
fixedpred,16,64,256,local_state_vjp,3,38075.7615,37746.5255,38494.6915,34323.5819936,34060.7495382,34709.5010579,0.251701953749,0.250849431098,0.251719328888,0.23290588148,0.232249232086,0.233032121713,0.331905039905,0.330515173087,0.33220689167,0.299199454645,0.298239437755,0.299503042148,1092084224,1092084224,1092084224,1119879168,1119879168,1119879168,40000,40000,40000,80000,80000,80000,0,0,0,0,0,0,0,0,0
fixedpred,16,64,256,optimizer_step,3,228.5415,227.584,231.455,205.255001783,204.768501222,207.588002086,0.00151243899063,0.00151078638473,0.00151349952415,0.00139370117961,0.00139277704546,0.00139625016504,0.00199276527191,0.00199218801382,0.00199744284511,0.00179124551616,0.00178921257718,0.00179297412718,1089860608,1089860608,1089860608,1119879168,1119879168,1119879168,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,16,64,256,parameter_vjp,3,5171.489,5151.987,5239.779,5123.72136116,5108.33454132,5190.86027145,0.0342381978435,0.0341864176528,0.0342632607771,0.0348320806366,0.0347674913505,0.0348503189532,0.0451116984276,0.0450796831185,0.045218980249,0.0447291043833,0.0446635970948,0.0447911492613,1090037248,1090037248,1090037248,1119879168,1119879168,1119879168,4000,4000,4000,500,500,500,2768896,2768896,2768896,2768896,2768896,2768896,0,0,0
fixedpred,16,64,256,state_inference,3,105867.1465,105401.8545,106961.9495,105830.909729,105377.914429,106883.094788,0.699840700805,0.699431248713,0.700461695155,0.718125553531,0.717590100534,0.718537907611,0.92291705587,0.922840098254,0.923075244554,0.922530477192,0.922278081432,0.9226998929,1093624320,1093624320,1093624320,1119879168,1119879168,1119879168,40000,40000,40000,500,500,500,3201536,3201536,3201536,3201536,3201536,3201536,2500,2500,2500
fixedpred,16,256,64,initial_forward,3,1931.5165,1913.9665,1932.142,1884.07498598,1871.72651291,1888.24498653,0.0129771887024,0.0128388244098,0.0129887921315,0.0129926027508,0.0128777323783,0.0130332904412,0.0170736992063,0.0169282927478,0.0170842687488,0.0166531521434,0.0165539544471,0.0166959556774,3723752448,3723752448,3723752448,3806330880,3806330880,3806330880,250,250,250,500,500,500,5852676,5852676,5852676,5852676,5852676,5852676,0,0,0
fixedpred,16,256,64,local_state_vjp,3,37185.8335,37119.4505,37532.02,33496.9000667,33380.6699216,33958.9594305,0.249838703623,0.249534882312,0.251763557265,0.230995007729,0.230404406903,0.23364224868,0.328705313112,0.328215352779,0.331956187308,0.29607578111,0.295153536469,0.300340388196,3723955712,3723955712,3723955712,3806330880,3806330880,3806330880,40000,40000,40000,80000,80000,80000,0,0,0,0,0,0,0,0,0
fixedpred,16,256,64,optimizer_step,3,228.852,223.5735,230.67,206.600502133,203.191496432,209.574997425,0.00153845372487,0.0014997236938,0.00154979163677,0.0014260248902,0.00139798506595,0.0014452315902,0.00202354126751,0.00197742105656,0.00203901452352,0.00182677187079,0.00179706957869,0.00185241263938,3727002112,3727002112,3727002112,3806330880,3806330880,3806330880,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,16,256,64,parameter_vjp,3,5137.4505,5136.2925,5139.003,5092.81396866,5092.16451645,5094.90394592,0.0345089658842,0.0344618491932,0.0345468613228,0.0351201036427,0.0350347828151,0.0351667094952,0.0454387608358,0.0454024147246,0.0454397804886,0.0450362052689,0.0450148781175,0.0450493929911,3727122432,3727122432,3727122432,3806330880,3806330880,3806330880,4000,4000,4000,500,500,500,2166784,2166784,2166784,2166784,2166784,2166784,0,0,0
fixedpred,16,256,64,state_inference,3,104335.108,104269.45,104355.0505,104308.189392,104219.928741,104327.9953,0.701125350154,0.699436045438,0.701391010509,0.719447054287,0.71704725106,0.71996956827,0.922449662166,0.922222919915,0.922545560836,0.922144814553,0.921743609962,0.92229817598,3724291584,3724291584,3724291584,3806330880,3806330880,3806330880,40000,40000,40000,500,500,500,6649856,6649856,6649856,6649856,6649856,6649856,2500,2500,2500
