cell_id,method,depth,width,batch_size,model_seed,region,host_time_median_us,device_time_median_us,host_time_share_of_region_sum,device_time_share_of_region_sum,host_time_to_composite_ratio,device_time_to_composite_ratio,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,non_finite_events_total
s3b-cell-e0bc0376258ac2e5c28b,fixedpred,8,64,64,70,initial_forward,1168.9,1124.08047915,0.0156771123749,0.0154946476734,0.0201110770105,0.0193406291158,472054784,476053504,250,500,536580,536580,0,0
s3b-cell-e0bc0376258ac2e5c28b,fixedpred,8,64,64,70,local_state_vjp,18435.7675,16566.0595596,0.247257762695,0.228351315563,0.317189785218,0.285031205324,473044480,476053504,20000,40000,0,0,0,0
s3b-cell-e0bc0376258ac2e5c28b,fixedpred,8,64,64,70,optimizer_step,201.4295,178.058505058,0.00270154239637,0.00245440949497,0.00346562082872,0.00306362717896,472028672,476053504,0,500,0,0,0,0
s3b-cell-e0bc0376258ac2e5c28b,fixedpred,8,64,64,70,parameter_vjp,2619.873,2575.32000542,0.0351373457344,0.0354989494707,0.0450752567892,0.0443102695967,472058368,476053504,2000,500,430080,430080,0,0
s3b-cell-e0bc0376258ac2e5c28b,fixedpred,8,64,64,70,state_inference,52134.955,52102.853775,0.699226236799,0.718200677798,0.896988703008,0.896467814746,472643072,476053504,20000,500,731648,731648,2500,0
s3b-cell-5fed455a3089d948b4f1,fixedpred,8,64,64,71,initial_forward,1195.5665,1151.63350105,0.0156535684442,0.015500620235,0.0201126298456,0.0193732091326,472054784,476053504,250,500,536580,536580,0,0
s3b-cell-5fed455a3089d948b4f1,fixedpred,8,64,64,71,local_state_vjp,19066.5515,17131.4750314,0.249638618095,0.230584199125,0.320750449893,0.288192075196,473044480,476053504,20000,40000,0,0,0,0
s3b-cell-5fed455a3089d948b4f1,fixedpred,8,64,64,71,optimizer_step,204.029,180.425003171,0.0026713544718,0.00242846309394,0.00343231409944,0.00303517683012,472028672,476053504,0,500,0,0,0,0
s3b-cell-5fed455a3089d948b4f1,fixedpred,8,64,64,71,parameter_vjp,2684.794,2638.11790943,0.0351520443553,0.0355082270634,0.0451654240343,0.0443794053657,472058368,476053504,2000,500,430080,430080,0,0
s3b-cell-5fed455a3089d948b4f1,fixedpred,8,64,64,71,state_inference,53225.6695,53194.311142,0.696884414634,0.715978490482,0.895398281015,0.89485458132,472643072,476053504,20000,500,731648,731648,2500,0
s3b-cell-a51b928dab4bbb6039c0,fixedpred,8,64,64,72,initial_forward,1183.2035,1138.24349642,0.0154815546758,0.0153059032007,0.0198072961027,0.0190543344241,472054784,476053504,250,500,536580,536580,0,0
s3b-cell-a51b928dab4bbb6039c0,fixedpred,8,64,64,72,local_state_vjp,18866.3245,16960.8845264,0.246855282526,0.228072163449,0.315829758568,0.283927267682,473044480,476053504,20000,40000,0,0,0,0
s3b-cell-a51b928dab4bbb6039c0,fixedpred,8,64,64,72,optimizer_step,206.114,182.067006826,0.00269688617423,0.0024482459081,0.0034504301491,0.00304782381502,472028672,476053504,0,500,0,0,0,0
s3b-cell-a51b928dab4bbb6039c0,fixedpred,8,64,64,72,parameter_vjp,2658.807,2607.91051388,0.0347889994773,0.0350684418643,0.0445094842341,0.0436567388577,472058368,476053504,2000,500,430080,430080,0,0
s3b-cell-a51b928dab4bbb6039c0,fixedpred,8,64,64,72,state_inference,53512.21,53477.2014618,0.700177277146,0.719105245578,0.895815629841,0.895214849833,472643072,476053504,20000,500,731648,731648,2500,0
s3b-cell-be1aa2eb735f5f40182d,fixedpred,8,64,256,70,initial_forward,1184.909,1141.01600647,0.0156056355079,0.0154371282627,0.0200308889887,0.0192880378061,809601536,836763648,250,500,1843716,1843716,0,0
s3b-cell-be1aa2eb735f5f40182d,fixedpred,8,64,256,70,local_state_vjp,18878.2595,16998.8524988,0.248632795245,0.229982283207,0.319137014187,0.2873531202,813558784,838860800,20000,40000,0,0,0,0
s3b-cell-be1aa2eb735f5f40182d,fixedpred,8,64,256,70,optimizer_step,211.241,187.872499228,0.0027821124241,0.00254178017764,0.00357102952282,0.00317584665533,808580096,838860800,0,500,0,0,0,0
s3b-cell-be1aa2eb735f5f40182d,fixedpred,8,64,256,70,parameter_vjp,2690.612,2645.77746391,0.0354362319513,0.0357954716091,0.0454848011818,0.0447249253832,808756736,838860800,2000,500,1720320,1720320,0,0
s3b-cell-be1aa2eb735f5f40182d,fixedpred,8,64,256,70,state_inference,52963.2545,52940.2294159,0.697543224872,0.716243336744,0.89534392208,0.894915707269,811954688,838860800,20000,500,2021888,2021888,2500,0
s3b-cell-91d30594e7126b4b2565,fixedpred,8,64,256,71,initial_forward,1206.1055,1161.74149513,0.0156490598657,0.0154928295628,0.0201782598335,0.019434878984,809601536,836763648,250,500,1843716,1843716,0,0
s3b-cell-91d30594e7126b4b2565,fixedpred,8,64,256,71,local_state_vjp,19319.0885,17380.7284981,0.250662626518,0.231787076063,0.323210189739,0.2907637856,813558784,838860800,20000,40000,0,0,0,0
s3b-cell-91d30594e7126b4b2565,fixedpred,8,64,256,71,optimizer_step,206.127,182.669006288,0.00267447065198,0.00243604949352,0.00344852433283,0.00305588639659,808580096,838860800,0,500,0,0,0,0
s3b-cell-91d30594e7126b4b2565,fixedpred,8,64,256,71,parameter_vjp,2706.162,2662.10544109,0.0351120952058,0.0355014829459,0.0452743478805,0.0445346037023,808756736,838860800,2000,500,1720320,1720320,0,0
s3b-cell-91d30594e7126b4b2565,fixedpred,8,64,256,71,state_inference,53634.591,53598.5088348,0.695901747759,0.714782561935,0.897311813323,0.896654322232,811954688,838860800,20000,500,2021888,2021888,2500,0
s3b-cell-a54d2b30d39e1b6f1b5f,fixedpred,8,64,256,72,initial_forward,1181.153,1138.20099831,0.0155427119555,0.0153875901826,0.0200148712751,0.0192867370256,809601536,836763648,250,500,1843716,1843716,0,0
s3b-cell-a54d2b30d39e1b6f1b5f,fixedpred,8,64,256,72,local_state_vjp,18967.1255,17099.9575481,0.249587113837,0.231178095328,0.321401694227,0.289757595424,813558784,838860800,20000,40000,0,0,0,0
s3b-cell-a54d2b30d39e1b6f1b5f,fixedpred,8,64,256,72,optimizer_step,206.113,183.334499598,0.00271222694205,0.00247853951133,0.00349262556428,0.00310659038844,808580096,838860800,0,500,0,0,0,0
s3b-cell-a54d2b30d39e1b6f1b5f,fixedpred,8,64,256,72,parameter_vjp,2663.8435,2617.35653877,0.0350533353553,0.0353846199751,0.0451393551466,0.0443509251359,808756736,838860800,2000,500,1720320,1720320,0,0
s3b-cell-a54d2b30d39e1b6f1b5f,fixedpred,8,64,256,72,state_inference,52975.7745,52929.9125671,0.69710461191,0.715571155003,0.897684980113,0.896893699784,811954688,838860800,20000,500,2021888,2021888,2500,0
s3b-cell-3dc4e0d2aca0453ad673,fixedpred,8,256,64,70,initial_forward,1221.523,1177.28000879,0.0159998413537,0.0158582809627,0.0205914798376,0.0198453160046,2057049088,2126512128,250,500,2706948,2706948,0,0
s3b-cell-3dc4e0d2aca0453ad673,fixedpred,8,256,64,70,local_state_vjp,19058.056,17111.2065017,0.24962761447,0.230492591642,0.321265809869,0.288442254782,2059169280,2126512128,20000,40000,0,0,0,0
s3b-cell-3dc4e0d2aca0453ad673,fixedpred,8,256,64,70,optimizer_step,205.5375,182.375006378,0.00269218622346,0.00245664079073,0.00346479050098,0.00307428105962,2058717696,2126512128,0,500,0,0,0,0
s3b-cell-3dc4e0d2aca0453ad673,fixedpred,8,256,64,70,parameter_vjp,2691.4845,2642.0904398,0.0352537979277,0.0355896746825,0.0453709416974,0.0445375095974,2058838016,2126512128,2000,500,1118208,1118208,0,0
s3b-cell-3dc4e0d2aca0453ad673,fixedpred,8,256,64,70,state_inference,53169.3435,53124.6032715,0.696426560025,0.715602811922,0.896287228861,0.895517236058,2057588224,2126512128,20000,500,3504128,3504128,2500,0
s3b-cell-8830653b4bb31288ee7a,fixedpred,8,256,64,71,initial_forward,1182.708,1140.21253586,0.0154071900507,0.0152658637468,0.0198508730662,0.0191372683411,2057049088,2126512128,250,500,2706948,2706948,0,0
s3b-cell-8830653b4bb31288ee7a,fixedpred,8,256,64,71,local_state_vjp,19129.137,17228.8824841,0.249196123865,0.230670830429,0.321068319867,0.289168674214,2059169280,2126512128,20000,40000,0,0,0,0
s3b-cell-8830653b4bb31288ee7a,fixedpred,8,256,64,71,optimizer_step,204.2055,182.480506599,0.00266019418816,0.0024431607815,0.0034274372541,0.00306274340263,2058717696,2126512128,0,500,0,0,0,0
