depth,width,batch_size,region,seed_count,strict_to_fixedpred_device_time_median_us_ratio_median,strict_to_fixedpred_device_time_median_us_ratio_min,strict_to_fixedpred_device_time_median_us_ratio_max,strict_to_fixedpred_host_time_median_us_ratio_median,strict_to_fixedpred_host_time_median_us_ratio_min,strict_to_fixedpred_host_time_median_us_ratio_max,strict_to_fixedpred_device_time_share_of_region_sum_ratio_median,strict_to_fixedpred_device_time_share_of_region_sum_ratio_min,strict_to_fixedpred_device_time_share_of_region_sum_ratio_max,strict_to_fixedpred_host_time_share_of_region_sum_ratio_median,strict_to_fixedpred_host_time_share_of_region_sum_ratio_min,strict_to_fixedpred_host_time_share_of_region_sum_ratio_max,strict_minus_fixedpred_vjp_calls_total_median,strict_minus_fixedpred_vjp_calls_total_min,strict_minus_fixedpred_vjp_calls_total_max
16,256,64,parameter_vjp,3,0.993667211741,0.981023144722,1.00454160546,0.993828374881,0.981164137362,1.00647023266,0.42850278408,0.419980517242,0.433232863084,0.430634944036,0.422242235866,0.435817132174,0,0,0
16,256,64,state_inference,3,2.53125504541,2.49701067222,2.5946787286,2.53064739001,2.49664281941,2.59445288062,1.09166495898,1.0906735796,1.09665942645,1.09580934664,1.09578163314,1.10229050895,40000,40000,40000
16,256,256,initial_forward,3,1.02663977506,1.01488346313,1.02849226517,1.02487325646,1.01540687696,1.02820276238,0.435284020707,0.43342889296,0.448541509506,0.4373363766,0.434843363431,0.450174815169,0,0,0
16,256,256,local_state_vjp,3,1.95130682224,1.93133196593,1.95773515975,1.9506059788,1.9367587715,1.95556281362,0.826520658569,0.825842554176,0.853578353405,0.829725535247,0.82967191118,0.858650893324,35000,35000,35000
16,256,256,optimizer_step,3,1.01522613058,0.999469721831,1.02286395106,1.00815445232,0.998733945912,1.03837289232,0.428610257045,0.423000944029,0.452068594374,0.427749743827,0.424802092616,0.460356666361,0,0,0
16,256,256,parameter_vjp,3,0.997630015999,0.985077356809,1.00292882365,0.997902307696,0.985775078225,1.00312408366,0.423418554699,0.422222333845,0.435368296614,0.425615409251,0.424448363121,0.437037727149,0,0,0
16,256,256,state_inference,3,2.586444778,2.45783740783,2.59546526453,2.5859137753,2.45813120543,2.59506453403,1.09464905127,1.08627457347,1.09575886659,1.0998941085,1.08979837165,1.10105965122,40000,40000,40000
32,64,64,initial_forward,3,0.996490762519,0.978946356914,1.0002724136,0.997656173015,0.979284115006,0.999897021523,0.409415216195,0.406324216249,0.429666991435,0.412005942731,0.408213916819,0.43115440352,0,0,0
32,64,64,local_state_vjp,3,2.01648512683,1.97873156592,2.02351474723,2.01906068371,1.98279800184,2.02065615297,0.836967963514,0.831375220799,0.849964097008,0.841644071791,0.8344782158,0.854980134336,75000,75000,75000
32,64,64,optimizer_step,3,0.970538930657,0.961457481051,1.00180580913,0.973727297084,0.965951559753,1.0017184019,0.411598940358,0.399065234459,0.416894974545,0.413683537165,0.402656250236,0.419870049544,0,0,0
32,64,64,parameter_vjp,3,0.988493847204,0.980440049754,0.996271939813,0.989489830187,0.981283692395,0.996767194495,0.409325311352,0.406944192582,0.42460750852,0.41163881782,0.409047439292,0.426666835025,0,0,0
32,64,64,state_inference,3,2.62729031179,2.52626142734,2.65967489463,2.62642213692,2.52474802962,2.65809016812,1.09049047403,1.08515553594,1.09274607749,1.09482228018,1.08866834016,1.09772181559,80000,80000,80000
32,64,256,initial_forward,3,1.00624796937,0.985545095701,1.00852164997,1.00596047785,0.985010571347,1.00920554194,0.419839850641,0.419678250055,0.429530457321,0.42179045435,0.421435233981,0.431232908847,0,0,0
32,64,256,local_state_vjp,3,2.00861588591,1.96185958217,2.01146387871,2.01228687021,1.95862899763,2.01307794875,0.838060815232,0.837034723743,0.855037935051,0.843355176506,0.841021336085,0.857478391167,75000,75000,75000
32,64,256,optimizer_step,3,1.00548626046,0.974914255364,1.02924582836,0.999056313297,0.971715743136,1.02149018046,0.424897214528,0.418415126992,0.429435316149,0.425412496753,0.417548654654,0.427941219054,0,0,0
32,64,256,parameter_vjp,3,0.986670637061,0.963316015822,0.999466796838,0.986857563904,0.963094203944,0.999242852515,0.417010521739,0.410585341779,0.419842349808,0.418620964369,0.412450271981,0.421638028202,0,0,0
