pair_id,component,passed,finite,presence_match,reference_l2,candidate_l2,difference_l2,relative_l2,cosine,max_abs,zero_case
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_5/state_corrections/layer_4,True,True,True,0.00034398337021284027,0.00034398337021284027,0.0,0.0,0.999999999999998,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_5/state_corrections/layer_5,True,True,True,0.0013979157770024834,0.0013979157770024834,0.0,0.0,0.9999999999999984,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_5/state_corrections/layer_6,True,True,True,,,,,,,both_missing
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/beliefs/layer_0,True,True,True,198.61801164763378,198.61801164763378,0.0,0.0,0.999999999999978,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/beliefs/layer_1,True,True,True,285.74239084615124,285.74239084615124,0.0,0.0,1.0000000000000182,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/beliefs/layer_2,True,True,True,199.19250653351943,199.19250653351943,0.0,0.0,0.9999999999999708,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/beliefs/layer_3,True,True,True,199.19250634786806,199.19250634786806,0.0,0.0,0.9999999999999721,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/beliefs/layer_4,True,True,True,150.11142291264508,150.11142291264508,0.0,0.0,0.9999999999999857,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/beliefs/layer_5,True,True,True,121.2184018857896,121.2184018857896,0.0,0.0,0.9999999999999908,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/beliefs/layer_6,True,True,True,190.9580910568978,190.9580910568978,0.0,0.0,1.0000000000000009,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/prediction_errors/layer_0,True,True,True,,,,,,,both_missing
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/prediction_errors/layer_1,True,True,True,4.229370642991842e-08,4.229370642991842e-08,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/prediction_errors/layer_2,True,True,True,4.754572622065756e-06,4.754572622065756e-06,0.0,0.0,1.0000000000000002,0.0,both_active
