model_seed,batch_index,parameter,cosine,relative_l2,max_abs
1,1,3.0.weight,1.0000009536743164,8.605709343926621e-06,3.166496753692627e-08
1,1,4.0.bias,0.9999999403953552,6.184934697095362e-06,1.0989606380462646e-07
1,1,4.0.weight,1.0,3.908288259517159e-06,2.0081643015146255e-08
1,1,5.bias,1.0000001192092896,0.0,0.0
1,1,5.weight,1.0000001192092896,0.0,0.0
1,2,0.0.bias,1.0,0.00032032365967750025,1.353677362203598e-06
1,2,0.0.weight,1.0000001192092896,0.00023230227778538482,1.0132789611816406e-06
1,2,1.0.bias,1.0000001192092896,7.687048138714709e-05,5.475594662129879e-07
1,2,1.0.weight,0.9999999403953552,4.092835349605273e-05,2.423767000436783e-07
1,2,3.0.bias,1.000000238418579,2.062613685617276e-05,1.2712553143501282e-07
1,2,3.0.weight,1.0000001192092896,1.0324684195416221e-05,4.321918822824955e-08
1,2,4.0.bias,1.0,8.009347163039412e-06,1.2130476534366608e-07
1,2,4.0.weight,0.9999998807907104,3.949061567654081e-06,1.7898855730891228e-08
1,2,5.bias,1.0,0.0,0.0
1,2,5.weight,0.9999998807907104,0.0,0.0
2,0,0.0.bias,0.9999996423721313,0.0009624222213572001,1.6690464690327644e-06
2,0,0.0.weight,0.9999998211860657,0.000347243818199699,1.1880183592438698e-06
2,0,1.0.bias,1.0,0.00012056575304602481,5.225883796811104e-07
2,0,1.0.weight,1.0000001192092896,4.4597691119646084e-05,1.9080471247434616e-07
2,0,3.0.bias,0.9999998807907104,2.6698523203005454e-05,8.987262845039368e-08
2,0,3.0.weight,1.0000014305114746,8.49444835477219e-06,2.1886080503463745e-08
2,0,4.0.bias,1.0,1.1858951903974284e-05,9.918585419654846e-08
2,0,4.0.weight,1.0000001192092896,3.984933174863656e-06,1.3620592653751373e-08
2,0,5.bias,1.0,0.0,0.0
2,0,5.weight,1.0,0.0,0.0
2,1,0.0.bias,0.9999999403953552,0.00035621633726478264,1.307111233472824e-06
2,1,0.0.weight,0.9999999403953552,0.0002775662343369389,1.0556832421571016e-06
2,1,1.0.bias,0.9999999403953552,3.684361713325919e-05,2.5122426450252533e-07
2,1,1.0.weight,0.9999998211860657,3.37304196934108e-05,1.2887176126241684e-07
2,1,3.0.bias,1.0000001192092896,1.2756765453339003e-05,1.1245720088481903e-07
2,1,3.0.weight,1.0000005960464478,7.66124746751356e-06,2.6637280825525522e-08
2,1,4.0.bias,1.0000001192092896,5.327257317510115e-06,7.706694304943085e-08
2,1,4.0.weight,1.0000001192092896,3.254906294243769e-06,1.0943040251731873e-08
2,1,5.bias,1.0,0.0,0.0
2,1,5.weight,1.0,0.0,0.0
2,2,0.0.bias,0.9999999403953552,0.0002891811771506329,1.1798692867159843e-06
2,2,0.0.weight,0.9999998807907104,0.00026372907080260123,1.1193333193659782e-06
2,2,1.0.bias,0.9999998807907104,5.249119804369033e-05,3.4639379009604454e-07
2,2,1.0.weight,0.9999998807907104,3.9978966638704914e-05,2.2636959329247475e-07
2,2,3.0.bias,1.0,1.370964285670419e-05,9.231735020875931e-08
2,2,3.0.weight,1.000000238418579,7.555419450801588e-06,2.011074684560299e-08
2,2,4.0.bias,1.0000001192092896,5.741203385558064e-06,6.658956408500671e-08
2,2,4.0.weight,1.0,3.2107783700247362e-06,1.0477378964424133e-08
2,2,5.bias,1.0,0.0,0.0
2,2,5.weight,0.9999998807907104,0.0,0.0
