candidate_id,method,depth,width,batch_size,model_seed_count,device_improvement_seed_count,device_nonregression_seed_count,median_device_time_ratio_to_baseline,minimum_device_time_ratio_to_baseline,maximum_device_time_ratio_to_baseline,median_host_time_ratio_to_baseline,minimum_host_time_ratio_to_baseline,maximum_host_time_ratio_to_baseline,median_peak_allocated_ratio_to_baseline,minimum_peak_allocated_ratio_to_baseline,maximum_peak_allocated_ratio_to_baseline,median_peak_reserved_ratio_to_baseline,minimum_peak_reserved_ratio_to_baseline,maximum_peak_reserved_ratio_to_baseline,median_saved_tensor_bytes_ratio_to_baseline,minimum_saved_tensor_bytes_ratio_to_baseline,maximum_saved_tensor_bytes_ratio_to_baseline,median_state_vjp_calls_ratio_to_baseline,minimum_state_vjp_calls_ratio_to_baseline,maximum_state_vjp_calls_ratio_to_baseline,median_graph_span_ratio_to_baseline,minimum_graph_span_ratio_to_baseline,maximum_graph_span_ratio_to_baseline,median_dependency_radius_ratio_to_baseline,minimum_dependency_radius_ratio_to_baseline,maximum_dependency_radius_ratio_to_baseline,median_device_time_reduction,minimum_device_time_reduction,maximum_device_time_reduction,maximum_seed_device_time_ratio,method_device_reduction_threshold,timing_threshold_passed,seed_regression_limit_passed,allocated_memory_limit_passed,reserved_memory_limit_passed,pareto_admissible,configuration_qualified
composite_vjp,strict,8,64,64,3,2,3,0.9930908222410861,0.9864746253133351,1.0259651323400125,0.9934183987450713,0.9864842202962835,1.0259741280010457,0.7777920856666017,0.7777920856666017,0.7777920856666017,0.7793103448275862,0.7793103448275862,0.7793103448275862,1.0515027526677088,1.0515027526677088,1.0515027526677088,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0,7.0,7.0,1.0,1.0,1.0,0.006909177758913865,-0.02596513234001252,0.013525374686664926,1.0259651323400125,0.2,False,True,True,True,True,False
composite_vjp,strict,8,64,256,3,2,3,0.9925443635326723,0.9894131725477853,1.0038452962262128,0.9925619098143996,0.9894285141383407,1.0038496864290007,0.602727270983471,0.602727270983471,0.602727270983471,0.6100917431192661,0.6100917431192661,0.6100917431192661,1.0590308762621083,1.0590308762621083,1.0590308762621083,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0,7.0,7.0,1.0,1.0,1.0,0.00745563646732772,-0.003845296226212769,0.010586827452214731,1.0038452962262128,0.2,False,True,True,True,True,False
composite_vjp,strict,8,256,64,3,2,3,0.9928051676175498,0.9529507899808785,1.006493808357648,0.992884413078007,0.9529224715964513,1.0064957246079091,0.8093362359577255,0.8093362359577255,0.8093362359577255,0.8146067415730337,0.8146067415730337,0.8146067415730337,1.0287906476596314,1.0287906476596314,1.0287906476596314,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0,7.0,7.0,1.0,1.0,1.0,0.0071948323824502225,-0.006493808357648012,0.047049210019121546,1.006493808357648,0.2,False,True,True,True,True,False
composite_vjp,strict,8,256,256,3,2,3,0.9945030789104805,0.9939379455511128,1.007373745045241,0.99447784390044,0.9940062223837577,1.007379085234201,0.5907166461787225,0.5907166461787225,0.5907166461787225,0.6083262531860663,0.6083262531860663,0.6086587436332768,1.0491572661107333,1.0491572661107333,1.0491572661107333,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0,7.0,7.0,1.0,1.0,1.0,0.005496921089519491,-0.007373745045240909,0.006062054448887189,1.007373745045241,0.2,False,True,True,True,True,False
composite_vjp,strict,16,64,64,3,3,3,0.9448465412354667,0.9443204098093123,0.9647732851917035,0.944954630243422,0.944323612700713,0.964738013905479,0.8201469394036409,0.8201469394036409,0.8201469394036409,0.8212290502793296,0.8212290502793296,0.8212290502793296,1.0238646828141278,1.0238646828141278,1.0238646828141278,0.06666666666666667,0.06666666666666667,0.06666666666666667,15.0,15.0,15.0,1.0,1.0,1.0,0.05515345876453326,0.03522671480829653,0.05567959019068769,0.9647732851917035,0.2,False,True,True,True,True,False
composite_vjp,strict,16,64,256,3,3,3,0.9599518397544373,0.9577353497135841,0.9627215227655864,0.9599398853887156,0.9577391583321021,0.9627176942072302,0.6722082192719291,0.6722082192719291,0.6722082192719291,0.6772554002541296,0.6763959390862944,0.6772554002541296,1.0278553970445365,1.0278553970445365,1.0278553970445365,0.06666666666666667,0.06666666666666667,0.06666666666666667,15.0,15.0,15.0,1.0,1.0,1.0,0.04004816024556268,0.037278477234413576,0.042264650286415906,0.9627215227655864,0.2,False,True,True,True,True,False
composite_vjp,strict,16,256,64,3,3,3,0.956504100882106,0.9402177956158523,0.961912158912491,0.9565395481253203,0.940214012978652,0.9619420810994648,0.884843364051197,0.884843364051197,0.884843364051197,0.8892156862745098,0.8887800097991181,0.8892699657030867,1.0126558917221122,1.0126558917221122,1.0126558917221122,0.06666666666666667,0.06666666666666667,0.06666666666666667,15.0,15.0,15.0,1.0,1.0,1.0,0.04349589911789398,0.038087841087508956,0.05978220438414772,0.961912158912491,0.2,False,True,True,True,True,False
composite_vjp,strict,16,256,256,3,3,3,0.9502201332195556,0.9386219134414603,0.9514684350506869,0.9502112837165606,0.9386159941815214,0.9514626675049663,0.7232425854873956,0.7232425854873956,0.7232425854873956,0.7304881613563285,0.7304881613563285,0.730701754385965,1.0220432171165115,1.0220432171165115,1.0220432171165115,0.06666666666666667,0.06666666666666667,0.06666666666666667,15.0,15.0,15.0,1.0,1.0,1.0,0.04977986678044444,0.0485315649493131,0.06137808655853971,0.9514684350506869,0.2,False,True,True,True,True,False
composite_vjp,strict,32,64,64,3,3,3,0.9374974848016866,0.9311118318725629,0.9500423756334929,0.9375078126484152,0.9311049800986867,0.9500432112513818,0.8699946857249399,0.8699946857249399,0.8699946857249399,0.8701825557809331,0.8701825557809331,0.8701825557809331,1.0115106724665615,1.0115106724665615,1.0115106724665615,0.03225806451612903,0.03225806451612903,0.03225806451612903,31.0,31.0,31.0,1.0,1.0,1.0,0.0625025151983134,0.04995762436650708,0.06888816812743714,0.9500423756334929,0.2,False,True,True,True,True,False
composite_vjp,strict,32,64,256,3,3,3,0.9280613046735386,0.9238619736487601,0.9412768137619786,0.9280702308263541,0.9238552494364443,0.9412821533426322,0.7575284698845894,0.7575284698845894,0.7575284698845894,0.7592417061611374,0.7592417061611374,0.7599620493358634,1.0135467428076794,1.0135467428076794,1.0135467428076794,0.03225806451612903,0.03225806451612903,0.03225806451612903,31.0,31.0,31.0,1.0,1.0,1.0,0.07193869532646135,0.05872318623802142,0.0761380263512399,0.9412768137619786,0.2,False,True,True,True,True,False
