block_id,candidate_id,method,depth,width,batch_size,model_seed,device_time_ratio_to_baseline,host_time_ratio_to_baseline,peak_allocated_ratio_to_baseline,peak_reserved_ratio_to_baseline,saved_tensor_bytes_ratio_to_baseline,state_vjp_calls_ratio_to_baseline,graph_span_ratio_to_baseline,dependency_radius_ratio_to_baseline,device_time_reduction,device_speedup,peak_allocated_growth,peak_reserved_growth,candidate_observer_cost_ms,baseline_observer_cost_ms,fallback_validation_status
s3b-block-0e5b912a97aaa0188407,isolated_layer_vjp,fixedpred,8,64,64,72,1.5987754246336305,1.598770921081449,0.9995682299931156,1.0,4.877289631798237,1.0,1.0,1.0,-0.5987754246336305,0.6254787161424853,-0.00043177000688443545,0.0,45.024264335632324,41.26688766479492,not_applicable_before_ex_if0
s3b-block-0e5b912a97aaa0188407,composite_vjp,fixedpred,8,64,64,72,1.1360248743283747,1.1359749463412225,1.0009483714005118,1.0,4.877289631798237,0.125,8.0,1.0,-0.13602487432837473,0.880262415548961,0.0009483714005118493,0.0,9.249459266662598,41.26688766479492,not_applicable_before_ex_if0
s3b-block-1018780e545ea1ba80e6,isolated_layer_vjp,fixedpred,32,64,256,71,1.6691774734430926,1.6692758105192216,0.9995061269185399,1.0,4.165651119513914,1.0,1.0,1.0,-0.6691774734430926,0.5990974692087426,-0.0004938730814600945,0.0,173.26831436157227,158.9009132385254,not_applicable_before_ex_if0
s3b-block-1018780e545ea1ba80e6,composite_vjp,fixedpred,32,64,256,71,1.1024377879790437,1.1024766716197354,1.0029955828215515,1.0,4.165651119513914,0.03125,32.0,1.0,-0.10243778797904368,0.9070806633299194,0.0029955828215515456,0.0,12.936420440673828,158.9009132385254,not_applicable_before_ex_if0
s3b-block-133f61522ecc4a38e0db,isolated_layer_vjp,fixedpred,16,256,256,72,1.6962578046177017,1.6963334878457328,0.9998361850848583,0.9976424361493124,4.461869839964984,1.0,1.0,1.0,-0.6962578046177017,0.5895330281032236,-0.00016381491514172453,-0.0023575638506876384,86.45221900939941,79.36552429199219,not_applicable_before_ex_if0
s3b-block-133f61522ecc4a38e0db,composite_vjp,fixedpred,16,256,256,72,1.112718098382825,1.1127431606336597,1.0017990756423623,1.0,4.461869839964984,0.0625,16.0,1.0,-0.1127180983828251,0.8987002201665951,0.0017990756423622578,0.0,10.699991226196289,79.36552429199219,not_applicable_before_ex_if0
s3b-block-14bf0a93a0fbe73ff031,isolated_layer_vjp,fixedpred,16,64,256,70,1.659456747168171,1.659471953849723,0.9992519514974395,1.0018726591760299,4.2037444478393775,1.0,1.0,1.0,-0.6594567471681709,0.602606848118506,-0.0007480485025604944,0.001872659176029856,87.38067245483398,80.27572631835938,not_applicable_before_ex_if0
s3b-block-14bf0a93a0fbe73ff031,composite_vjp,fixedpred,16,64,256,70,1.1060460604340847,1.106058191397969,1.0026078063666088,1.0,4.2037444478393775,0.0625,16.0,1.0,-0.10604606043408471,0.9041214789983834,0.0026078063666088447,0.0,10.61917495727539,80.27572631835938,not_applicable_before_ex_if0
s3b-block-15e340f570301df94fc1,isolated_layer_vjp,strict,16,64,256,71,1.2982524478030542,1.2982587249088455,0.6710245497250632,0.6772554002541296,1.0278553970445365,1.0,1.0,1.0,-0.29825244780305415,0.7702662157057614,-0.3289754502749368,-0.32274459974587044,183.2301254272461,186.48104095458984,not_applicable_before_ex_if0
s3b-block-15e340f570301df94fc1,composite_vjp,strict,16,64,256,71,0.9627215227655864,0.9627176942072302,0.6722082192719291,0.6772554002541296,1.0278553970445365,0.06666666666666667,15.0,1.0,0.037278477234413576,1.0387219734397592,-0.3277917807280709,-0.32274459974587044,19.07412338256836,186.48104095458984,not_applicable_before_ex_if0
