dataset,model,method,metric,n,mean,std,ci_low,ci_high
MNIST,lenet_classic,strict,median_epoch_time_sec_difference,10,-3.4245891224001754,0.17438827691078476,-3.5493389806117124,-3.2998392641886385
MNIST,lenet_classic,strict,peak_gpu_memory_allocated_bytes_difference,10,-713728.0,0.0,-713728.0,-713728.0
MNIST,lenet_classic,strict,peak_gpu_memory_reserved_bytes_difference,10,-20971520.0,0.0,-20971520.0,-20971520.0
MNIST,lenet_classic,strict,runtime_over_bp_difference,10,-1.3132742561772974,0.06086196235848761,-1.356812281262444,-1.269736231092151
MNIST,lenet_classic,strict,test_accuracy_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,strict,test_macro_f1_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,strict,total_training_time_sec_ratio,10,0.7338866593022259,0.01054680441828383,0.7263419299254982,0.7414313886789535
MNIST,lenet_classic,strict,mean_epoch_time_sec_ratio,10,0.7338866593022257,0.010546804418283833,0.7263419299254981,0.7414313886789534
MNIST,lenet_classic,strict,median_epoch_time_sec_ratio,10,0.7149022602716073,0.010948429987071977,0.7070702252706256,0.722734295272589
MNIST,lenet_classic,strict,peak_gpu_memory_allocated_bytes_ratio,10,0.9954499758463567,0.0,0.9954499758463567,0.9954499758463567
MNIST,lenet_classic,strict,peak_gpu_memory_reserved_bytes_ratio,10,0.888888888888889,1.1702778228589004e-16,0.8888888888888888,0.8888888888888891
MNIST,lenet_classic,strict,runtime_over_bp_ratio,10,0.7393095044959868,0.008879993603767995,0.7329571397463991,0.7456618692455744
