dataset,model,method,model_seed,test_accuracy_original,test_macro_f1_original,total_training_time_sec_original,mean_epoch_time_sec_original,median_epoch_time_sec_original,peak_gpu_memory_allocated_bytes_original,peak_gpu_memory_reserved_bytes_original,runtime_over_bp_original,test_accuracy_patched,test_macro_f1_patched,total_training_time_sec_patched,mean_epoch_time_sec_patched,median_epoch_time_sec_patched,peak_gpu_memory_allocated_bytes_patched,peak_gpu_memory_reserved_bytes_patched,runtime_over_bp_patched,test_accuracy_difference,test_accuracy_ratio,test_macro_f1_difference,test_macro_f1_ratio,total_training_time_sec_difference,total_training_time_sec_ratio,mean_epoch_time_sec_difference,mean_epoch_time_sec_ratio,median_epoch_time_sec_difference,median_epoch_time_sec_ratio,peak_gpu_memory_allocated_bytes_difference,peak_gpu_memory_allocated_bytes_ratio,peak_gpu_memory_reserved_bytes_difference,peak_gpu_memory_reserved_bytes_ratio,runtime_over_bp_difference,runtime_over_bp_ratio
MNIST,lenet_classic,bp,5,0.9853,0.9852099099175344,25.259033408005052,2.525903340800505,1.7121921124999062,129994240.0,138412032.0,1.0,0.9853,0.9852099099175344,24.807693493989063,2.4807693493989063,1.6693815714970697,129994240,138412032,1.0,0.0,1.0,0.0,1.0,-0.45133991401598905,0.9821315445161511,-0.045133991401598905,0.9821315445161511,-0.042810541002836544,0.9749966486293816,0.0,1.0,0.0,1.0,0.0,1.0
MNIST,lenet_classic,exact,5,0.9853,0.9852099099175344,29.325054787997942,2.9325054787997944,2.1173895460015046,164927488.0,186646528.0,1.1609729602204133,0.9853,0.9852099099175344,25.194131183001446,2.5194131183001445,1.7017904770000314,133660160,140509184,1.0155773324555954,0.0,1.0,0.0,1.0,-4.130923604996497,0.85913330307955,-0.4130923604996499,0.8591333030795499,-0.41559906900147325,0.8037210159149535,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.14539562776481785,0.8747639843935606
MNIST,lenet_classic,strict,5,0.9839,0.9837645471152762,128.59014204799678,12.859014204799678,12.067806648499754,156862464.0,188743680.0,5.090857594227821,0.9839,0.9837645471152762,94.09449836299609,9.40944983629961,8.608703234498535,156148736,167772160,3.7929563417814443,0.0,1.0,0.0,1.0,-34.49564368500069,0.7317395942207991,-3.4495643685000683,0.7317395942207993,-3.45910341400122,0.7133610510381149,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.297901252446377,0.7450525322260085
MNIST,lenet_classic,fixedpred,5,0.9849,0.984822753501646,68.81740478099891,6.881740478099891,6.0574482814990915,160873472.0,174063616.0,2.7244670716176103,0.9849,0.984822753501646,47.11900132600567,4.711900132600567,3.8745021620015905,163132416,195035136,1.8993705052596956,0.0,1.0,0.0,1.0,-21.69840345499324,0.6846959933457945,-2.169840345499324,0.6846959933457945,-2.182946119497501,0.6396261234017061,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.8250965663579146,0.6971530414320529
MNIST,lenet_classic,exact,6,0.9841,0.9840427426629328,29.99514713499957,2.999514713499957,2.1702503679989604,164927488.0,186646528.0,1.1817145472160142,0.9841,0.9840427426629328,25.1441719279901,2.51441719279901,1.700113261500519,133660160,140509184,1.0006854771623213,0.0,1.0,0.0,1.0,-4.850975207009469,0.8382746653924844,-0.4850975207009469,0.8382746653924844,-0.4701371064984414,0.783371949416176,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.18102907005369295,0.846808122587492
MNIST,lenet_classic,bp,6,0.9841,0.9840427426629328,25.382734947001154,2.5382734947001153,1.73435592649912,129994240.0,138412032.0,1.0,0.9841,0.9840427426629328,25.126947978991666,2.5126947978991665,1.7010999434969563,129994240,138412032,1.0,0.0,1.0,0.0,1.0,-0.2557869680094882,0.9899227971870026,-0.02557869680094882,0.9899227971870026,-0.0332559830021637,0.980825168297898,0.0,1.0,0.0,1.0,0.0,1.0
MNIST,lenet_classic,strict,6,0.9838,0.9837481875510683,130.45047090499793,13.045047090499793,12.211102296998433,156862464.0,188743680.0,5.139338655876798,0.9838,0.9837481875510683,93.90587150699866,9.390587150699867,8.557755437501328,156148736,167772160,3.7372573694788644,0.0,1.0,0.0,1.0,-36.544599397999264,0.7198584325187044,-3.654459939799926,0.7198584325187044,-3.6533468594971055,0.7008176026504076,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.4020812863979333,0.7271864377346172
MNIST,lenet_classic,fixedpred,6,0.9857,0.9856341730102418,68.23454880000645,6.823454880000645,5.985389643999952,160873472.0,174063616.0,2.6882268180509064,0.9857,0.9856341730102418,47.270443232991965,4.7270443232991965,3.8645364420008264,163132416,195035136,1.8812648186526357,0.0,1.0,0.0,1.0,-20.964105567014485,0.6927640625504876,-2.096410556701448,0.6927640625504876,-2.1208532019991253,0.6456616313818144,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.8069619993982706,0.699816252862414
MNIST,lenet_classic,fixedpred,7,0.9846,0.9845298869252701,68.20794191499954,6.820794191499954,5.98179249450186,160873472.0,174063616.0,2.653396255331506,0.9846,0.9845298869252701,46.95707963301538,4.695707963301539,3.862099941499764,163132416,195035136,1.863863245982233,0.0,1.0,0.0,1.0,-21.250862281984155,0.6884400601257418,-2.1250862281984153,0.6884400601257418,-2.1196925530020962,0.6456425803886706,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.789533009349273,0.7024443643640285
MNIST,lenet_classic,exact,7,0.9843,0.9842220913170305,29.95817648200682,2.995817648200682,2.162391000001662,164927488.0,186646528.0,1.1654201997910822,0.9843,0.9842220913170305,25.287319372007914,2.5287319372007913,1.7133184560007066,133660160,140509184,1.0037273513440907,0.0,1.0,0.0,1.0,-4.670857109998906,0.8440874025558842,-0.46708571099989094,0.8440874025558841,-0.44907254400095553,0.792325928104302,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.1616928484469915,0.8612578978157602
MNIST,lenet_classic,strict,7,0.9846,0.9845444481244096,128.8154668129937,12.881546681299369,12.058702207998067,156862464.0,188743680.0,5.011124330599584,0.9846,0.9845444481244096,93.53744768400065,9.353744768400066,8.533422269501898,156148736,167772160,3.712773712158542,0.0,1.0,0.0,1.0,-35.27801912899304,0.7261352227197416,-3.527801912899303,0.7261352227197416,-3.525279938496169,0.7076567712105878,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.298350618441042,0.7409063250510702
MNIST,lenet_classic,bp,7,0.9843,0.9842220913170305,25.70590117399479,2.5705901173994787,1.7634316540006694,129994240.0,138412032.0,1.0,0.9843,0.9842220913170305,25.193414663997828,2.5193414663997826,1.6973335459988448,129994240,138412032,1.0,0.0,1.0,0.0,1.0,-0.5124865099969611,0.9800634684414249,-0.05124865099969611,0.9800634684414249,-0.06609810800182458,0.9625173406341727,0.0,1.0,0.0,1.0,0.0,1.0
MNIST,lenet_classic,strict,8,0.9843,0.9842089062237832,130.1984576050054,13.019845760500539,12.214851232502042,156862464.0,188743680.0,5.095610807136755,0.9843,0.9842089062237832,93.77663023698551,9.37766302369855,8.558681600501586,156148736,167772160,3.7082193342325405,0.0,1.0,0.0,1.0,-36.421827368019876,0.7202591487026981,-3.6421827368019883,0.720259148702698,-3.6561696320004557,0.7006783330875214,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.387391472904215,0.7277281320305944
MNIST,lenet_classic,exact,8,0.9845,0.9843981527237077,29.27147258399782,2.927147258399782,2.103687232500306,164927488.0,186646528.0,1.1456052151733964,0.9845,0.9843981527237077,25.28422432698426,2.528422432698426,1.719837031498173,133660160,140509184,0.9998167908513419,0.0,1.0,0.0,1.0,-3.9872482570135617,0.8637838173131981,-0.39872482570135626,0.863783817313198,-0.38385020100213296,0.8175345673672633,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.14578842432205452,0.8727411307219055
MNIST,lenet_classic,fixedpred,8,0.985,0.9849081533197659,68.75802576899878,6.875802576899877,6.042877007999778,160873472.0,174063616.0,2.691000689492255,0.985,0.9849081533197659,46.59146920598869,4.659146920598869,3.8134791304983082,163132416,195035136,1.8423714574018275,0.0,1.0,0.0,1.0,-22.16655656301009,0.6776149938120472,-2.2166556563010085,0.6776149938120473,-2.2293978775014693,0.6310701219716847,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.8486292320904276,0.6846417634138365
MNIST,lenet_classic,bp,8,0.9845,0.9843981527237077,25.55109927599915,2.555109927599915,1.7392175100012537,129994240.0,138412032.0,1.0,0.9845,0.9843981527237077,25.28885747703316,2.528885747703316,1.7196466420064098,129994240,138412032,1.0,0.0,1.0,0.0,1.0,-0.262241798965988,0.989736574691629,-0.026224179896598976,0.989736574691629,-0.019570867994843866,0.9887473143052534,0.0,1.0,0.0,1.0,0.0,1.0
MNIST,lenet_classic,bp,9,0.9838,0.9837274627679967,25.317288007998286,2.5317288007998284,1.718769732498913,129994240.0,138412032.0,1.0,0.9838,0.9837274627679967,25.26484217502002,2.526484217502002,1.7163920120001421,129994240,138412032,1.0,0.0,1.0,0.0,1.0,-0.05244583297826466,0.9979284577020376,-0.0052445832978262885,0.9979284577020376,-0.002377720498770941,0.9986166148647998,0.0,1.0,0.0,1.0,0.0,1.0
MNIST,lenet_classic,exact,9,0.9838,0.9837274627679967,29.306052329007798,2.93060523290078,2.1066213630001585,164927488.0,186646528.0,1.1575510109830631,0.9838,0.9837274627679967,25.433911165979225,2.5433911165979226,1.727087979503267,133660160,140509184,1.006691868082452,0.0,1.0,0.0,1.0,-3.872141163028573,0.8678723043432282,-0.3872141163028573,0.8678723043432282,-0.3795333834968915,0.8198378739706804,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.1508591429006112,0.8696738705515082
