dataset,model,model_seed,method,quality_contrast_reference,quality_contrast_candidate,quality_difference_in_differences,runtime_over_bp_reference,runtime_over_bp_candidate,runtime_slowdown_change,runtime_slowdown_ratio
MNIST,lenet_classic,4,strict,-0.0022514815805454447,-0.0022514815805454447,0.0,4.921354059566879,3.710390374427578,-1.2109636851393013,0.7539368900343097
MNIST,lenet_classic,5,exact,0.0,0.0,0.0,1.1609729602204133,1.0155773324555954,-0.14539562776481785,0.8747639843935606
MNIST,lenet_classic,5,fixedpred,-0.0003871564158883789,-0.0003871564158883789,0.0,2.7244670716176103,1.8993705052596956,-0.8250965663579146,0.6971530414320529
MNIST,lenet_classic,5,strict,-0.0014453628022582654,-0.0014453628022582654,0.0,5.090857594227821,3.7929563417814443,-1.297901252446377,0.7450525322260085
MNIST,lenet_classic,6,exact,0.0,0.0,0.0,1.1817145472160142,1.0006854771623213,-0.18102907005369295,0.846808122587492
MNIST,lenet_classic,6,fixedpred,0.0015914303473090197,0.0015914303473090197,0.0,2.6882268180509064,1.8812648186526357,-0.8069619993982706,0.699816252862414
MNIST,lenet_classic,6,strict,-0.0002945551118644918,-0.0002945551118644918,0.0,5.139338655876798,3.7372573694788644,-1.4020812863979333,0.7271864377346172
MNIST,lenet_classic,7,exact,0.0,0.0,0.0,1.1654201997910822,1.0037273513440907,-0.1616928484469915,0.8612578978157602
MNIST,lenet_classic,7,fixedpred,0.0003077956082395694,0.0003077956082395694,0.0,2.653396255331506,1.863863245982233,-0.789533009349273,0.7024443643640285
MNIST,lenet_classic,7,strict,0.0003223568073790206,0.0003223568073790206,0.0,5.011124330599584,3.712773712158542,-1.298350618441042,0.7409063250510702
MNIST,lenet_classic,8,exact,0.0,0.0,0.0,1.1456052151733964,0.9998167908513419,-0.14578842432205452,0.8727411307219055
MNIST,lenet_classic,8,fixedpred,0.0005100005960582132,0.0005100005960582132,0.0,2.691000689492255,1.8423714574018275,-0.8486292320904276,0.6846417634138365
MNIST,lenet_classic,8,strict,-0.00018924649992446696,-0.00018924649992446696,0.0,5.095610807136755,3.7082193342325405,-1.387391472904215,0.7277281320305944
MNIST,lenet_classic,9,exact,0.0,0.0,0.0,1.1575510109830631,1.006691868082452,-0.1508591429006112,0.8696738705515082
MNIST,lenet_classic,9,fixedpred,6.883830571990934e-05,6.883830571990934e-05,0.0,2.715325409944331,1.8491248410493986,-0.8662005688949324,0.6809956678773573
MNIST,lenet_classic,9,strict,0.0009859012911475062,0.0009859012911475062,0.0,5.118327444356157,3.735000951848953,-1.3833264925072042,0.7297307553012143
