domain,dataset,model,checkpoint_label,metric,method,statistic,analysis_role,reference,target_value,n,n_missing,candidate_mean,candidate_median,candidate_std,candidate_min,candidate_max,mean_difference,median_difference,difference_ci_low,difference_ci_high,cohen_dz,rank_biserial,p_value,p_value_holm
gradient,FashionMNIST,lenet_classic,final,norm_ratio,strict,linear_slope,descriptive,zero_depth_trend,0,10,0,0.92152621681651503,0.92186983261012068,0.0040666608463663673,0.91421163867434374,0.92796796638904322,0.92152621681651503,0.92186983261012068,0.91861710289575449,0.92443533073727557,,,,
gradient,FashionMNIST,lenet_classic,final,norm_ratio,strict,spearman_rho,confirmatory,zero_depth_trend,0,10,0,0.99999999999999978,0.99999999999999989,1.1702778228589004e-16,0.99999999999999989,0.99999999999999989,0.99999999999999978,0.99999999999999989,0.99999999999999967,0.99999999999999989,8544979495185812,1,0.001953125,0.0078125
gradient,FashionMNIST,lenet_classic,final,relative_l2,strict,linear_slope,descriptive,zero_depth_trend,0,10,0,-0.90835111951404401,-0.90858445982963443,0.0041402636227299838,-0.91551303816678808,-0.90116844158885478,-0.90835111951404401,-0.90858445982963443,-0.91131288568917623,-0.9053893533389118,,,,
gradient,FashionMNIST,lenet_classic,final,relative_l2,strict,spearman_rho,confirmatory,zero_depth_trend,0,10,0,-0.99999999999999978,-0.99999999999999989,1.1702778228589004e-16,-0.99999999999999989,-0.99999999999999989,-0.99999999999999978,-0.99999999999999989,-0.99999999999999989,-0.99999999999999967,-8544979495185812,-1,0.001953125,0.0078125
gradient,FashionMNIST,lenet_classic,final,sign_agreement,strict,linear_slope,descriptive,zero_depth_trend,0,10,0,0.12546524350954499,0.12382701852219874,0.025346815942234025,0.09201984482682142,0.1800395039437786,0.12546524350954499,0.12382701852219874,0.10733322368045253,0.14359726333863745,,,,
gradient,FashionMNIST,lenet_classic,final,sign_agreement,strict,spearman_rho,confirmatory,zero_depth_trend,0,10,0,0.58999999999999986,0.64999999999999991,0.2078995483935023,0.19999999999999998,0.8999999999999998,0.58999999999999986,0.64999999999999991,0.4412776223048509,0.73872237769514881,2.8379090024922813,1,0.001953125,0.0078125
representation,FashionMNIST,lenet_classic,,cka,fixedpred,linear_slope,descriptive,zero_depth_trend,0,10,0,0.0017321436423901385,-0.00034144672823515075,0.0064742180842907596,-0.00410587914403715,0.016627839940989909,0.0017321436423901385,-0.00034144672823515075,-0.0028992329750818571,0.0063635202598621345,,,,
representation,FashionMNIST,lenet_classic,,cka,fixedpred,spearman_rho,confirmatory,zero_depth_trend,0,10,0,-0.010000000000000031,-0.099999999999999992,0.55467708323552234,-0.59999999999999998,0.8999999999999998,-0.010000000000000031,-0.099999999999999992,-0.40679208208600021,0.38679208208600019,-0.018028507580786269,-0.066666666666666666,1,1
representation,FashionMNIST,lenet_classic,,rsa_spearman,fixedpred,linear_slope,descriptive,zero_depth_trend,0,10,0,0.0079942855154272723,0.0079838853815492831,0.0077962464383880149,-0.0017553988007939392,0.026022954463659164,0.0079942855154272723,0.0079838853815492831,0.002417186784939406,0.013571384245915138,,,,
representation,FashionMNIST,lenet_classic,,rsa_spearman,fixedpred,spearman_rho,confirmatory,zero_depth_trend,0,10,0,0.46999999999999992,0.64999999999999991,0.46916000587338114,-0.49999999999999994,0.99999999999999989,0.46999999999999992,0.64999999999999991,0.13438314978494659,0.80561685021505325,1.0017904214257458,0.83636363636363631,0.017578125,0.03515625
representation,FashionMNIST,lenet_classic,,cka,strict,linear_slope,descriptive,zero_depth_trend,0,10,0,-0.00516388107181299,-0.0052692155809613388,0.013780567608678457,-0.026794318491370595,0.020559349584379261,-0.00516388107181299,-0.0052692155809613388,-0.015021905279120349,0.0046941431354943688,,,,
representation,FashionMNIST,lenet_classic,,cka,strict,spearman_rho,confirmatory,zero_depth_trend,0,10,0,-0.18999999999999995,-0.099999999999999992,0.50210667303981438,-0.8999999999999998,0.79999999999999993,-0.18999999999999995,-0.099999999999999992,-0.54918547610186064,0.16918547610186069,-0.37840564605468602,-0.40000000000000002,0.302734375,0.302734375
representation,FashionMNIST,lenet_classic,,rsa_spearman,strict,linear_slope,descriptive,zero_depth_trend,0,10,0,0.028547660201766956,0.026131991067941285,0.030338456709043213,-0.018558867565399373,0.078854116161047427,0.028547660201766956,0.026131991067941285,0.0068448356779246093,0.050250484725609307,,,,
representation,FashionMNIST,lenet_classic,,rsa_spearman,strict,spearman_rho,confirmatory,zero_depth_trend,0,10,0,0.51000000000000001,0.64999999999999991,0.45570458267024988,-0.29999999999999999,0.99999999999999989,0.51000000000000001,0.64999999999999991,0.18400857969630235,0.83599142030369766,1.1191460858514968,0.88888888888888884,0.015625,0.03125
